skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,36 x 11 =?,1,,396,386,376,,
1,0,43x11=?,2,,423,473,443,,
1,0,32x11=?,2,,342,352,362,,
1,0,6 1 x  1 1 = ?,1,,671,761,661,,
1,0,7 2 X 1 1 = ?,2,,972,792,782,,
1,0,4 2 x 1 1  = ?,3,,462,462,452,,
1,0,1 8 x 1 1  = ?,3,,189,199,198,,
1,0,2 5 x 1 1  = ?,2,,285,275,295,,
1,0,8 7 x 1 1  = ?,1,,957,857,977,,
1,0,8 4  x 1 1  = ?,3,,934,824,924,,
1,0,7 7 x 1 1 = ?,2,,7147,847,837,,
1,0,5 8 x 1 1 =? ,1,,638,5138,658,,
1,0,6 7 X 1 1 = ?,3,,6137,747,737,,
1,0,4 4 X 1 1 = ?,1,,484,584,684,,
1,0,9 1 X 1 1 = ?,2,,1000,1001,1010,,
1,0,5 9 X  1 1 = ?,1,,649,639,659,,
1,0,7 7 X 1 1 = ?,3,,857,837,847,,
1,0,6 6 X 1 1 =?,2,,736,726,746,,
1,0,8 8 X 1 1 = ?,1,,968,998,948,,
1,0,7 8 X 1 1 = ?,3,,658,758,858,,
1,0,9 2 8 7 2 5 x 1 1 = ?,1,,10215975,10245075,10206075,,
1,0,8 4 2 1 9 x 1  1=?,2,,936409,926409,955409,,
1,0,8 9 7 5 x 1 1 = ?,1,,98725,99725,98825,,
1,0,1 9 9 8 2 x 1 1 =?,2,,219902,219802,229702,,
1,0,6 2 7 4 5 x 1 1 = ?,1,,690195,660195,690185,,
1,0,8 9 9 4 2 x 1 1=?,3,,988362,989462,989362,,
1,0,7 5 2 9 x 1 1 =?,1,,82819,83819,84819,,
1,0,3 9 3 8 7 x 1 1 =?,2,,435257,433257,443257,,
1,0,6 4 0 7 x  1 1 = ?,3,,80477,70577,70477,,
1,0,2 8 2 7 6 x  1 1=?,1,,311036,311046,311146,,
1,0,8 4 7 6 9 8 5 x 1 1 = ?,2,,93246745,93246835,93247835,,
1,0,3 8 7 8 9 6 9 7 9 x 1 1 = ?,3,,466867769,4267869769,4266866769,,
1,0,4 3 5 8 9 7 2 6 8 x 1 1 = ?,1,,4794869948,4795879948,4794889548,,
1,0,8 9 7 8 5 2 x 1 1 = ?,2,,9875372,9876372,9876472,,
1,0,7 8 9 4 5 6 x 1 1 = ?,3,,8685016,8694016,8684016,,
