skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,2 6 + 9 = ?,1,,35,45,33,,
1,0, 6 8 + 7 = ?,3,,72,74,75,,
1,0,4 6 + 8 = ?,2,,52,54,55,,
1,0,3 9 + 8 =?,2,,46,47,48,,
1,0,6 3 + 9 = ?,1,,72,73,71,,
1,0,8 4  + 9 =?,1,,93,92,91,,
1,0,7 7 + 9 = ?,2,,85,86,84,,
1,0,4 9 + 8 = ?,3,,56,58,57,,
1,0,5 7 + 8 =?,1,,65,64,66,,
1,0,6 7 + 9 = ?,2,,75,76,77,,
1,0,5 8 + 7 = ?,3,,63,64,65,,
1,0,9 3 + 8 = ?,1,,101,102,103,,
1,0,3 9 + 6 = ?,2,,44,45,46,,
1,0,9 6 + 7 = ?,3,,101,102,103,,
1,0,5 5 + 9 = ?,1,,64,65,66,,
1,0,8 9 + 9 =?,2,,97,98,99,,
1,0,4 8 + 9 = ?,1,,57,58,59,,
1,0,8 6 +  9 = ?,2,,94,95,96,,
1,0,3 4 + 9 = ?,1,,43,44,45,,
1,0,9 8 + 7 = ?,3,,104,103,105,,
1,0,4 8 + 7 6 = ?,2,,114,124,134,,
1,0,8 6 + 4 5 = ?,1,,131,134,136,,
1,0,3 7 + 4 9 = ?,3,,88,89,86,,
1,0,8 6 + 1 7 = ?,1,,103,102,104,,
1,0,3 7 + 5 8  = ?,2,,96,95,97,,
1,0,9 4 + 3 7 = ?,1,,131,132,133,,
1,0,1 6  + 6 7 = ?,1,,83,84,85,,
1,0,2 7 + 3 8 = ?,2,,64,65,63,,
1,0,6 7 + 9 6 = ?,1,,163,162,161,,
1,0,6 6 + 4 4 = ?,2,,111,110,112,,
1,0,7 4 + 7 5 = ?,1,,149,150,151,,
1,0,7 3 + 4 8 = ?,1,,121,122,123,,
1,0,6 7 + 8 3 = ?,1,,150,160,170,,
1,0,3 8 + 4 7 = ?,3,,83,84,85,,
1,0,8 3 + 7 4 = ?,3,,147,167,157,,
1,0,9 8 + 3 7 = ?,2,,137,135,136,,
1,0,4 5 + 3 5 =?,2,,70,80,90,,
1,0,8 9 + 1 9 =?,2,,109,108,107,,
1,0,8 8 + 3 9 =?,1,,127,125,126,,
1,0,5 6 + 3 8 =?,1,,94,99,100,,
