skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,4 3  x 1 1 =  ?,2,,437,347,347,,
1,0,9 8  x 1 1 = ?,3,,9178,1087,1078,,
1,0, 7 9  x 1 1 = ?,3,,769,7169,869,,
1,0,9 8 5 7 0 x 1 1 = ?,2,,1842788,10842788,19842788,,
1,0,6 9 0 4 8 x 1 1 = ?,1,,759528,759428,159528,,
1,0,9 5 7 8 0 0 6 7 x 1 1 = ?,1,,153580737,153581737,153581637,,
1,0,2 4 6 8 x 1 1 = ?,3,,27048,7148,27148,,
1,0,5 0 1 0 5 x 1 1 = ?,2,,51155,551155,550105,,
1,0,2 7 9 8 0 8 x 1 1 = ?,1,,3077888,1077888,2077888,,
1,0,9 0 9 8 5 x 1 1 = ?,2,,109835,1000835,100835,,
1,0,9 8 7 x 1 1 = ?,1,,10857,19857,1857,,
1,0,4 4 0 0  1 9 x 1 1 =?,3,,484009,4840109,4840209,,
1,0,7 2 8 6 9 x 1 1 = ?,2,,801559,101559,90559,,
1,0,8 1 8 7 3 x 1 1 = ?,1,,900609,100603,800603,,
1,0,9 9 x 1 1 = ?,3,,989,9189,1089,,
1,0,5 9 5 6 x 1 1 = ?,2,,55516,65516,15516,,
1,0,9 8 9 8 x 1 1 = ?,3,,107878,1888878,108878,,
1,0,7 5 0 7 x 1 1 = ?,1,,82577,12577,72577,,
1,0,1 9 2 7 8 x 1 1 = ?,3,,122058,112058,212058,,
1,0,1 6 1 0 0 9 x 1 1 = ?,2,,1770099,1771099,1771009,,
