skill_id,is_challenge,question,answer,explantion,option 1,option_2,option_3,option_4,option_5
1,0,3+4+5+6+7+8+9+10+11+12+13 = ?,1,,87,88,80,,
1,0,14+15+16+17+18 = ?,1,,80,64,96,,
1,0,80+81+82+83+84+85+86 = ?,3,,561,571,581,,
1,0,17+19+21+23+25= ?,2,,115,105,100,,
1,0,25+30+35+40+45+50+55 = ?,2,,260,280,270,,
1,0,12+15+18+21+24+27+30= ?,1,,147,126,137,,
1,0,21+25+29+34+39=?,2,,155,145,135,,
1,0,27+29+31+33+35=?,1,,155,145,135,,
1,0,52+53+54+55+56 = ?,3,,250,260,270,,
1,0,71+73+75= ?,3,,199,209,219,,
1,0,92+94+96+98+100= ?,1,,480,450,510,,
1,0,36+42+48+54+60 = ?,1,,240,260,220,,
1,0,84+85+86=?,3,,235,245,255,,
1,0,74+76+78+80+82+84+86=?,1,,560,490,640,,
1,0,60+65+70+75+80+85+90=?,3,,535,515,525,,
1,0,41+42+43+44+45=?,1,,215,225,205,,
1,0,35+37+39+41+43=?,2,,175,195,185,,
1,0,89+91+93=?,3,,233,253,273,,
1,0,24+27+30+33+36=?,1,,150,160,130,,
1,0,10+20+30+40+50+60+70=?,2,,270,280,240,,
