skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,4 1 5 x 2 2 = ?,1,,9130,9230,9430,,
1,0,9 7 4 x 3 8 2 = ?,2,,372066,372068,373066,,
1,0,1 0 1 8 x 9 9 7 = ?,3,,1025689,1015496,1014946,,
1,0,1 1 5 x 1 2 5 = ?,2,,15365,14375,14366,,
1,0,2 1 5 x 2 3 6 = ?,3,,51886,51746,50740,,
1,0,8 4 1 6 3 - 3 8 9 2 = ?,1,,80271,80371,80471,,
1,0,3 7 5 x 1 5 = ?,2,,7625,5625,6625,,
1,0,6 1 2 x 6 1 8 = ?,1,,378216,379216,379216,,
1,0,7 3 7 x 2 5 = ?,2,,19525,18425,195625,,
1,0,4 3 2 1 x 1 5= ? ,3,,65815,66815,64815,,
1,0,1 8 3 4 x 3 3 = ?,1,,60522,61522,62522,,
1,0,4 6 8 x  1 5  = ?,2,,7052,7020,7065,,
1,0,5 3 0 x 5 1 2 = ?,3,,2721366,272268,271360,,
1,0,7 5 x 3 5 = ?,1,,2625,2825,2925,,
1,0,7 3 6 + 2 4 8 = ?,2,,985,984,845,,
1,0,3 6 2 8 4 - 8 1 6 9 = ?,1,,28115,28225,29226,,
1,0,7 2 9 x 3 2 4 = ?,2,,246196,236196,256196,,
1,0,1 0 2 1 X 9 9 2 = ?,1,,1012832,1012942,1012822,,
1,0,2 4 2 x 2 1 1 = ?,3,,52056,52062,51062,,
1,0,6 2 4 8 - 3 7 1 9 = ?,1,,2529,2629,2709,,
1,0,4 3 1 3 x 2 5 = ?,2,,108925,107825,108825,,
1,0,8 5 x  9 5 = ?,3,,9075,7025,8075,,
1,0,8 3 1 x 8 0 6 = ?,1,,669786,679786,685975,,
1,0,Square of 98 =?,2,,9804,9604,9904,,
1,0,8 2 7  + 4 9 6 = ?,1,,1323,1424,1524,,
1,0,4 7 8 4 6 - 2 9 1 6 7 = ?,2,,18669,18679,19668,,
1,0,9 2 8 + 7 6 9 = ?,3,,1897,1797,1697,,
1,0,8 2 4 x 3 1 8 =?,1,,262032,263032,289052,,
1,0,Square of  47  =?,2,,2509,2209,2308,,
1,0,6 1 4 3 x 4 3 1 =?,3,,2657833,2854761,2647633,,
1,0,Add 36 to 47 =?,1,,498,562,566,,
1,0,Add 56 to 63 =?,2,,979,976,876,,
1,0,Add 13 to 82 =?,1,,3325,3254,3624,,
1,0,Add 27 to 91 =?,2,,3935,3835,3825,,
1,0,7328 is Divisible by 3 ,2,,TRUE,FALSE,,,
1,0,83141 is Divisible by 9 ,2,,TRUE,FALSE,,,
1,0,63144  is Divisible by 7 ,1,,FALSE,TRUE,,,
1,0,52183  is Divisible by 6 ,2,,TRUE,FALSE,,,
1,0,34125 is Divisible by 7 ,1,,TRUE,FALSE,,,
1,0,53603  is Divisible by 11 ,2,,FALSE,TRUE,,,
1,0,1 0 0 2 3 x 9 9 7 8 =?,1,,100009494,100009595,10009595,,
1,0,Square of 49 =?,2,,2601,2401,2501,,
1,0,Square of 86 =?,1,,7396,7496,7596,,
1,0,4 6 1 3 x 2 2  =?,2,,101216,101486,101586,,
1,0,Choose Correct Table of 885 =,3,,885 1770 2655 3540 4425 5310 6295  7080 7965 8850,885 1770 2655 3540 4435 5310 6195  7080 7965 8850,885 1770 2655 3540 4425 5310 6195  7080 7965 8850,,
1,0,Choose Correct Table of 4176 =,3,,4176 8352 12528 16704 20980 25056 29432 33408 37584 41760 ,4176 8352 12528 16704 20980 25056 29242 33408 37584 41760 ,4176 8352 12528 16704 20880 25056 29232 33408 37584 41760,,
1,0,Choose Correct Table of 5912 =,2,,5912 11824 17736 23648 29570 35472 41384 47296 53208 59120,5912 11824 17736 23648 29560 35472 41384 47296 53208 59120,5912 11824 17736 23648 29660 35472 41384 47296 53208 59120,,
1,0,Choose Correct Table of 515 =,1,,515 1030 1545 2060 2575 3090 3605 4120 4635 5150,515 1030 1545 2160 2575 3090 3615 4120 4635 5150,515 1030 1545 2060 2595 3090 3655 4120 4635 5150,,
1,0,Find Cube OF 37 = ?,2,,50657,50653,50643,,
1,0,Find Cube of 53 = ?,3,,148873,148777,148877,,
1,0,Find Cube Of 95 = ?,1,,857375,857385,857275,,
1,0,Find Cube Root of 97336 = ?,2,,44,46,36,,
1,0,Find Cube Root of 753571 = ?,3,,99,97,91,,
1,0,Find Cube Root of 658503 = ?,1,,87,83,97,,
1,0,Cube Root of 551368 = 88,2,,TRUE,FALSE,,,
1,0,Cube Root of 6859 = 19,1,,TRUE,FALSE,,,
1,0,Find Day on 9 june 1989 = ?,1,,Friday,Saturday,Sunday,,
1,0,Find Day on 2 Oct 1869 = ?,3,,Sunday,Monday,Saturday,,
1,0,Find Day on 25 Jan 1784 = ?,2,,Saturday,Sunday,Tuesday,,
1,0,Find Day on 2 Feb 2000 = ?,2,,Tuesday,Wednesday,Friday,,
