skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,6 8 1 3 x 1 5 = ?,1,,1 0 2 1 9 5,1 0 2 0 9 5,1 0 2 0 9 5,,
1,0,8 3 0 4 6 x 1 8 = ?,3,,1 4 9 3 8 2 8,1 4 8 4 8 2 8,1 4 9 4 8 2 8,,
1,0,9 8 9 8 x 9 9 8 9  = ?,1,,9 8 8 7 1 1 2 2,9 8 9 7 1 1 2 2,9 8 8 7 1 1 3 2,,
1,0,Find Square root of  9 0 2 5  = ?,1,,9 5,8 5,7 5,,
1,0,6 1 x 9 8 = ?,1,,5 9 7 8,5 9 6 8,5 8 7 8,,
1,0,4 0 8 3 x 9 9 9 9 9= ?,3,,4 0 8 2 8 5 9 1 7,4 0 8 2 9 5 8 1 7,4 0 8 2 9 5 9 1 7,,
1,0,Find Digit sum of 9822012993 = ?,2,,1,0,8,,
1,0,Find Day on 26 Nov 2003 = ?,3,,Friday,Thursday,Wednesday,,
1,0,8 6 - 3 9 = ?,2,,4 6,4 7,4 8,,
1,0,9 7 9 x 9 8 6 = ?,1,,9 6 5 2 9 4,9 6 5 2 8 4,9 6 5 1 9 4,,
1,0,7 0 0 0 0 0 -7 3 2 1 4 =?,1,,6 2 6 7 8 6,5 2 6 7 8 6,6 3 6 7 8 6,,
