skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,8 5 2 5 x 1 3 =?,1,,110825,120855,110725,,
1,0,1 9 8 5 7 x 12,1,,238284,238184,238264,,
1,0,3 0 1 5 8 x 1 6 = ?,2,,482428,482528,482518,,
1,0,2 7 0 4 1 x 1 9 = ?,3,,5 1 3 7 6 9,5 1 3 6 7 9,5 1 3 7 7 9,,
1,0,6 9 8 6 x 1 5 = ?,1,,1 0 4 7 9 0,1 0 4 7 8 0,1 0 4 6 9 0,,
1,0,8 4 7 1 0 9 x 1 4 = ?,3,,1 1 8 5 9 4 1 6,1 1 7 5 9 5 2 6,1 1 8 5 9 5 2 6,,
1,0,7 8 7 x 1 7 = ?,2,,1 3 3 6 9,1 3 3 7 9,1 3 3 8 9,,
1,0,5 1 4 3 2 x 1 2 = ?,1,,6 1 7 1 8 4,6 1 7 1 7 4,6 1 7 1 9 4,,
1,0,8 4 7 x 1 7 = ?,2,,1 4 3 8 9,1 4 3 9 9,1 4 3 7 9,,
1,0,6 5 7 x 1 8 = ?,2,,1 1 2 6 9,1 1 8 2 6,1 1 3 6 9,,
