skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,4 7 - 1 8 = ?,1,,29,19,39,,
1,0,4 7 x 4 3 = ?,2,,1621,2021,2010,,
1,0,6 0 8 1 9 x 8 = ?,1,,486552,46552,486452,,
1,0,21 + 22 + 23 + 25 + 26 + 27 + 28 = ?,2,,200,175,150,,
1,0,1 0 0 0 0  - 3 8  7 = ?,3,,9623,631,9613,,
1,0,9 1 - 2 8 = ?,1,,63,53,64,,
1,0,9 1 0 5 2 x 5 = ?,2,,445260,455260,45526,,
1,0,13 + 16 + 19 + 22 + 25 = ?,3,,90,85,95,,
1,0,6 0 0 0 0 - 2 8 1 7 8 = ?,1,,31822,41822,41832,,
1,0,8 3 - 4 7 = ?,3,,46,26,36,,
1,0,Square of 52,2,,2714,2704,274,,
1,0,1 2 1 x 1 2 9 = ?,1,,15609,1569,14409,,
1,0,27 + 31 + 35 + 39 + 43 = ?,2,,185,175,195,,
1,0,7 0 0 0 - 5 1 0 9 = ?,3,,1891,881,891,,
1,0,8 5 7 0 6 x 7 = ?,1,,599942,589942,598942,,
1,0,Square of 89,2,,8921,7921,8021,,
1,0,5 2 - 1 9 = ?,3,,43,23,33,,
1,0,2 4 1 x 2 4 9 = ?,1,,60009,6009,57609,,
1,0,Square of 77,2,,5919,5929,4929,,
1,0,3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12 + 13 = ?,2,,80,88,99,,
1,0,8 0 0 0 0 0 - 7 0 8 1 6 3 = ?,3,,91847,191837,91837,,
1,0,7 0 1 3 4 1 1 x 5 = ?,2,,3567055,35067055,356755,,
1,0,6 6 - 2 8 = ?,1,,38,28,36,,
1,0,Square of 98,3,,9614,9404,9604,,
1,0,21 + 26 + 31 + 36 + 41 + 46 + 51 = ?,2,,242,252,216,,
1,0,9 0 0 0 0 - 8 0 9 = ?,3,,91991,1444,1244,,
1,0,Square of 38,1,,216,116,2016,,
1,0,8 1 0 9 3 x 5 = ?,2,,40546,405465,45465,,
