skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,"Find HCF of 0.32, 2.72, 12.8, 14.4 = ?",1,,0.16,1.6,16,,
1,0,Find Square of 102 =?,2,,14041,10404,145261,,
1,0,Find Day on 30 june 3538 = ?,1,,Thursday,Friday,Saturday,,
1,0,How Many Prime nos. are there between 10 to 100 = ?,2,,24,21,26,,
1,0,4 8 6 5 7 x 1 6 = 778612,1,,FALSE,TRUE,,,
1,0,7 3 x 4 8 = 3514,2,,TRUE,FALSE,,,
1,0,4 3 X 1 2 = ?,1,,516,519,548,,
1,0,3 4 2 x 2 7 = ?,2,,9356,9324,9545,,
1,0,9 8 2 2 0 1 2 3 3 9,3,,1,2,3,,
1,0,9 8 5 0 1 4 7 2 3 6,1,,0,2,3,,
1,0,7 6 4 1 8 3 2 5 9 3,2,,1,3,1,,
1,0,8 4 7 2 6 6 4 0 2 7,2,,2,1,1,,
1,0,9 3 7 2 6 6 4 0 2 7 ,1,,1,1,1,,
